Date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-03-15,234.81,235.185,231.81,234.96,26042669,231.8507503768,232.2210243489,228.8885585999,231.9988599656,26042669,0.0,1.0
2021-03-16,237.71,240.055,235.94,236.28,28092196,234.7142024278,237.029649,232.9665092794,233.3022243474,28092196,0.0,1.0
2021-03-17,237.04,238.55,233.23,236.15,29562100,234.0526462642,235.5436161253,230.2906627076,233.1738627038,29562100,0.0,1.0
2021-03-18,230.72,234.19,230.33,232.56,34852251,227.8122955876,231.2385640762,227.4272106566,229.6291065441,34852251,0.0,1.0
2021-03-19,230.35,232.474,229.3496,231.02,46430730,227.4469586018,229.5441903798,226.4591663839,228.1085147653,46430730,0.0,1.0
2021-03-22,235.99,236.9,230.14,230.27,30127005,233.0158791423,233.914410648,227.2396051774,227.3679668211,30127005,0.0,1.0
2021-03-23,237.58,241.05,237.07,237.485,31638376,234.5858407841,238.0121092727,234.082268182,234.4920380445,31638376,0.0,1.0
2021-03-24,235.46,238.0,235.32,237.845,25620127,232.4925585951,235.0005476329,232.3543229788,234.8475010577,25620127,0.0,1.0
2021-03-25,232.34,236.94,231.57,235.3,34061853,229.4118791471,233.9539065384,228.6515832577,232.3345750337,34061853,0.0,1.0
2021-03-26,236.48,236.71,231.55,231.55,25479853,233.4997037992,233.7268051688,228.6318353126,228.6318353126,25479853,0.0,1.0
2021-03-29,235.24,236.8,231.88,236.59,25227455,232.2753311981,233.8156709221,228.957676408,233.6083174977,25227455,0.0,1.0
2021-03-30,231.85,233.85,231.1,233.525,24792012,228.9280544902,230.9028490082,228.187506546,230.581944899,24792012,0.0,1.0
2021-03-31,235.77,239.1,232.39,232.91,43623471,232.7986517454,236.0866846177,229.4612490101,229.9746955847,43623471,0.0,1.0
2021-04-01,242.35,242.84,238.0501,238.47,30337982,239.2957257093,239.7795503662,235.0500162355,235.4646243446,30337982,0.0,1.0
2021-04-05,249.07,249.96,242.7,242.76,36910609,245.9310352896,246.80981885,239.64131475,239.7005585855,36910609,0.0,1.0
2021-04-06,247.86,249.4,246.88,247.61,22931923,244.7362846062,246.256876385,243.7686352924,244.4894352915,22931923,0.0,1.0
2021-04-07,249.9,250.93,247.19,247.81,22719835,246.7505750145,247.7675941912,244.0747284427,244.6869147433,22719835,0.0,1.0
2021-04-08,253.25,254.139,252.0,252.77,23625197,250.058355832,250.9361519952,248.8241092583,249.5844051477,23625197,0.0,1.0
2021-04-09,255.85,255.99,252.44,252.87,24326833,252.6255887053,252.7638243216,249.2585640523,249.6831448736,24326833,0.0,1.0
2021-04-12,255.91,257.67,254.62,254.71,27148668,252.6848325409,254.4226517166,251.4110900768,251.4999558301,27148668,0.0,1.0
2021-04-13,258.49,259.19,256.83,257.2573,23837469,255.232317469,255.9234955502,253.5932380191,254.0151528679,23837469,0.0,1.0
2021-04-14,255.59,258.83,255.16,257.475,23070938,252.368865418,255.568032537,251.9442845966,254.2301092511,23070938,0.0,1.0
2021-04-15,259.5,259.93,257.73,257.931,25627481,256.2295887005,256.6541695219,254.4818955522,254.6803624012,25627481,0.0,1.0
2021-04-16,260.74,261.0,257.6014,259.47,24878582,257.4539613016,257.710684589,254.3549162647,256.1999667828,24878582,0.0,1.0
2021-04-19,258.74,261.48,257.821,260.19,23209260,255.4791667837,258.1846352733,254.5717487027,256.9108928092,23209260,0.0,1.0
2021-04-20,258.26,260.2,256.84,257.82,19722875,255.0052160994,256.9207667818,253.6031119917,254.5707613055,19722875,0.0,1.0
2021-04-21,260.58,260.68,257.25,258.94,24030383,257.2959777402,257.3947174661,254.0079448679,255.6766462355,24030383,0.0,1.0
2021-04-22,257.17,261.78,255.64,260.21,25606152,253.9289530871,258.480854451,252.4182352809,256.9306407544,25606152,0.0,1.0
2021-04-23,261.15,261.51,257.27,257.88,21499286,257.8587941778,258.214257191,254.027692813,254.630005141,21499286,0.0,1.0
2021-04-26,261.55,262.435,260.17,261.66,19763346,258.2537530814,259.1275996556,256.891144864,258.3623667799,19763346,0.0,1.0
