Date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2021-05-03,132.54,134.07,131.83,132.04,75135100,131.3824036818,132.8990407547,130.6786047788,130.8867706515,75135100,0.0,1.0
2021-05-04,127.85,131.4899,126.7,131.19,137564718,126.7333658573,130.3414751915,125.5934098875,130.0441944999,137564718,0.0,1.0
2021-05-05,128.1,130.45,127.97,129.2,84000900,126.9811823724,129.310657615,126.8523177846,128.0715750392,84000900,0.0,1.0
2021-05-06,129.74,129.75,127.13,127.89,78128334,128.606858712,128.6167713726,126.0196542936,126.7730164997,78128334,0.0,1.0
2021-05-07,130.21,131.2582,129.475,130.85,78973273,129.2908322938,130.3316329267,128.5610207453,129.9263144585,78973273,0.22,1.0
2021-05-10,126.85,129.54,126.81,129.41,88071229,125.954550929,128.6255619026,125.9148332938,128.4964795879,88071229,0.0,1.0
2021-05-11,125.91,126.27,122.77,123.5,126142826,125.0211864996,125.3786452173,121.903352129,122.6281989731,126142826,0.0,1.0
2021-05-12,122.77,124.64,122.25,123.4,112172282,121.903352129,123.760151579,121.3870228701,122.5289048849,112172282,0.0,1.0
2021-05-13,124.97,126.15,124.26,124.58,105861339,124.0878220702,125.2594923114,123.3828340437,123.7005751261,105861339,0.0,1.0
2021-05-14,127.45,127.89,125.85,126.25,81917951,126.5503154585,126.9872094467,124.9616100467,125.3587863996,81917951,0.0,1.0
2021-05-17,126.27,126.93,125.17,126.82,74244624,125.3786452173,126.0339861996,124.2864102467,125.9247627026,74244624,0.0,1.0
2021-05-18,124.85,126.99,124.78,126.56,63342929,123.9686691643,126.0935626526,123.8991633025,125.6665980732,63342929,0.0,1.0
2021-05-19,124.69,124.915,122.86,123.16,92611989,123.8097986231,124.0332103217,121.9927168084,122.2905990731,92611989,0.0,1.0
2021-05-20,127.31,127.72,125.1,125.23,76857123,126.4113037349,126.8184094967,124.2169043849,124.3459866996,76857123,0.0,1.0
2021-05-21,125.43,128.0,125.21,127.82,79295436,124.5445748761,127.0964329438,124.326127882,126.917703585,79295436,0.0,1.0
2021-05-24,127.1,127.94,125.94,126.01,63092945,126.2027861496,127.0368564908,125.0509747261,125.1204805879,63092945,0.0,1.0
2021-05-25,126.9,128.32,126.32,127.82,72009482,126.0041979732,127.4141740261,125.4282922614,126.917703585,72009482,0.0,1.0
2021-05-26,126.85,127.39,126.42,126.955,56575920,125.954550929,126.4907390055,125.5275863496,126.0588097217,56575920,0.0,1.0
2021-05-27,125.28,127.64,125.08,126.44,94625601,124.3956337437,126.7389742261,124.1970455672,125.5474451673,94625601,0.0,1.0
2021-05-28,124.61,125.8,124.55,125.57,71311109,123.7303633525,124.9119630026,123.6707868996,124.6835865996,71311109,0.0,1.0
2021-06-01,124.28,125.35,123.94,125.08,67637118,123.4026928613,124.4651396055,123.0650929613,124.1970455672,67637118,0.0,1.0
2021-06-02,125.06,125.24,124.05,124.28,59278862,124.1771867496,124.3559161084,123.1743164584,123.4026928613,59278862,0.0,1.0
2021-06-03,123.54,124.85,123.13,124.68,76229170,122.6679166084,123.9686691643,122.2608108466,123.7998692143,76229170,0.0,1.0
2021-06-04,125.89,126.16,123.85,124.07,75169343,125.001327682,125.2694217202,122.9757282819,123.1941752761,75169343,0.0,1.0
2021-06-07,125.9,126.32,124.8321,126.17,71057550,125.0112570908,125.4282922614,123.9508955225,125.279351129,71057550,0.0,1.0
2021-06-08,126.74,128.46,126.2101,126.6,74403774,125.845327432,127.5531857497,125.3191680584,125.7063157085,74403774,0.0,1.0
2021-06-09,127.13,127.75,126.52,127.21,56877937,126.2325743761,126.8481977232,125.6268804379,126.3120096467,56877937,0.0,1.0
2021-06-10,126.11,128.19,125.94,127.02,71186421,125.2197746761,127.2850917114,125.0509747261,126.1233508791,71186421,0.0,1.0
2021-06-11,127.35,127.44,126.1,126.53,53522373,126.4510213702,126.5403860496,125.2098452673,125.6368098467,53522373,0.0,1.0
2021-06-14,130.48,130.54,127.07,127.82,96906490,129.5589263321,129.618502785,126.1729979232,126.917703585,96906490,0.0,1.0
2021-06-15,129.64,130.6,129.39,129.94,62746332,128.7248559909,129.6780792379,128.4766207703,129.0227382556,62746332,0.0,1.0
2021-06-16,130.15,130.89,128.461,130.37,91339351,129.2312558409,129.9660320938,127.5541786906,129.449702835,91339351,0.0,1.0
2021-06-17,131.79,132.55,129.65,129.8,96721669,130.859678888,131.6143139586,128.7347853997,128.883726532,96721669,0.0,1.0
